iter	Passed	Remaining
173	14390	68313
174	14449	68120
175	14533	68044
176	14623	67993
177	14718	67969
178	14806	67910
179	14846	67632
180	14952	67658
181	15035	67576
182	15133	67564
183	15168	67268
184	15256	67213
185	15352	67186
186	15420	67042
187	15503	66960
188	15592	66906
189	15663	66776
190	15739	66666
191	15832	66629
192	15889	66438
193	15984	66411
194	16078	66376
195	16164	66305
196	16251	66243
197	16341	66192
198	16439	66169
199	16534	66139
200	16628	66102
201	16721	66057
202	16818	66030
203	16911	65988
204	16950	65735
205	16978	65439
206	17012	65175
207	17103	65124
208	17199	65093
209	17289	65040
210	17378	64984
211	17481	64977
212	17571	64923
213	17663	64877
214	17753	64820
215	17850	64790
216	17949	64766
217	18046	64736
218	18085	64497
219	18186	64477
220	18277	64427
221	18371	64383
222	18476	64376
223	18568	64328
224	18667	64297
225	18761	64252
226	18851	64195
227	18956	64185
228	19051	64143
229	19146	64099
230	19238	64044
231	19339	64021
232	19405	63881
233	19502	63841
234	19593	63783
235	19673	63689
236	19770	63649
237	19861	63591
238	19960	63556
239	20060	63525
240	20151	63465
241	20247	63420
242	20336	63353
243	20450	63362
244	20539	63294
245	20630	63233
246	20723	63177
247	20818	63128
248	20914	63080
249	21004	63014
250	21101	62967
251	21198	62923
252	21306	62908
253	21403	62863
254	21488	62780
255	21605	62792
256	21695	62723
257	21775	62624
258	21868	62564
259	21948	62469
260	22046	62422
261	22141	62369
262	22235	62308
263	22330	62255
264	22420	62185
265	22531	62172
266	22623	62109
267	22716	62047
268	22814	61997
269	22921	61974
270	23019	61922
271	23106	61843
272	23196	61771
273	23291	61715
274	23384	61649
275	23481	61595
276	23575	61534
277	23665	61462
278	23768	61423
279	23865	61369
280	23961	61309
281	24051	61238
282	24148	61182
283	24228	61082
284	24322	61018
285	24412	60944
286	24506	60881
287	24605	60830
288	24708	60787
289	24806	60732
290	24898	60664
291	24994	60603
292	25079	60516
293	25167	60436
294	25266	60381
295	25370	60341
296	25467	60280
297	25570	60237
298	25669	60181
299	25759	60104
300	25848	60025
301	25933	59937
302	26020	59855
303	26116	59793
304	26202	59707
305	26297	59641
306	26381	59552
307	26503	59546
308	26609	59505
309	26719	59472
310	26819	59417
311	26920	59364
312	27033	59335
313	27140	59293
314	27253	59266
315	27360	59223
316	27461	59167
317	27559	59104
318	27664	59057
319	27775	59023
320	27881	58976
321	27983	58922
322	28088	58872
323	28189	58815
324	28296	58769
325	28405	58728
326	28512	58681
327	28621	58638
328	28723	58582
329	28829	58533
330	28924	58459
331	29033	58416
332	29131	58349
333	29236	58297
334	29348	58258
335	29450	58199
336	29558	58151
337	29672	58115
338	29777	58061
339	29891	58023
340	30005	57986
341	30129	57968
342	30235	57913
343	30346	57870
344	30448	57807
345	30550	57746
346	30658	57694
347	30758	57627
348	30848	57541
349	30951	57481
350	31073	57454
351	31192	57421
352	31296	57361
353	31402	57304
354	31515	57261
355	31627	57214
356	31743	57173
357	31850	57116
358	31957	57060
359	32061	56997
360	32161	56927
361	32281	56894
362	32397	56852
363	32515	56812
364	32621	56752
365	32726	56690
366	32837	56638
367	32936	56565
368	33046	56511
369	33159	56461
370	33269	56404
371	33372	56338
372	33482	56282
373	33580	56206
374	33687	56145
375	33807	56106
376	33929	56068
377	34039	56011
378	34143	55945
379	34253	55887
380	34362	55827
381	34465	55758
382	34568	55688
383	34675	55625
384	34785	55565
385	34900	55514
386	35005	55448
387	35110	55381
388	35215	55312
389	35324	55251
390	35430	55183
391	35545	55131
392	35649	55061
393	35756	54995
394	35863	54929
395	35973	54868
396	36076	54797
397	36189	54738
398	36295	54670
399	36397	54596
400	36503	54527
401	36611	54462
402	36726	54405
403	36830	54333
404	36943	54275
405	37049	54205
406	37158	54140
407	37260	54064
408	37371	54000
409	37476	53930
410	37590	53870
411	37689	53790
412	37788	53709
413	37898	53643
414	38008	53578
415	38112	53504
416	38226	53443
417	38328	53366
418	38422	53277
419	38523	53199
420	38631	53130
421	38746	53070
422	38851	52996
423	38957	52923
424	39062	52848
425	39170	52779
426	39291	52725
427	39384	52635
428	39486	52556
429	39595	52486
430	39688	52396
431	39785	52310
432	39892	52237
433	39993	52157
434	40102	52087
435	40203	52005
436	40319	51944
437	40431	51877
438	40531	51795
439	40637	51721
440	40730	51628
441	40848	51569
442	40950	51488
443	41053	51409
444	41169	51346
445	41266	51258
446	41364	51173
447	41466	51092
448	41568	51011
449	41669	50929
450	41785	50864
451	41882	50777
452	41988	50701
453	42081	50609
454	42188	50533
455	42292	50454
456	42387	50363
457	42494	50288
458	42612	50225
459	42718	50147
460	42811	50055
461	42915	49975
462	43021	49897
463	43134	49827
464	43251	49762
465	43341	49666
466	43449	49590
467	43557	49513
468	43682	49456
469	43789	49379
470	43905	49311
471	44004	49225
472	44126	49163
473	44235	49088
474	44338	49006
475	44445	48927
476	44544	48840
477	44652	48762
478	44756	48681
479	44865	48604
480	44969	48521
481	45073	48440
482	45183	48364
483	45293	48288
484	45414	48223
485	45540	48164
486	45642	48078
487	45749	47999
488	45857	47920
489	45966	47842
490	46069	47758
491	46180	47681
492	46284	47598
493	46382	47509
494	46484	47423
495	46588	47339
496	46684	47248
497	46781	47156
498	46887	47075
499	47005	47005
500	47110	46922
501	47222	46846
502	47327	46762
503	47428	46675
504	47540	46599
505	47655	46525
506	47760	46441
507	47860	46353
508	47967	46271
509	48069	46184
510	48172	46098
511	48276	46013
512	48381	45929
513	48493	45851
514	48600	45769
515	48709	45689
516	48823	45612
517	48935	45534
518	49052	45460
519	49153	45372
520	49251	45280
521	49340	45181
522	49462	45112
523	49557	45017
524	49670	44939
525	49779	44858
526	49893	44780
527	49994	44692
528	50094	44602
529	50193	44511
530	50294	44421
531	50392	44330
532	50493	44241
533	50607	44162
534	50705	44071
535	50808	43983
536	50917	43900
537	51028	43819
538	51143	43742
539	51242	43650
540	51350	43567
541	51451	43477
542	51554	43389
543	51673	43314
544	51781	43230
545	51881	43139
546	51987	43053
547	52096	42970
548	52201	42883
549	52314	42802
550	52412	42710
551	52515	42621
552	52619	42532
553	52722	42444
554	52846	42372
555	52972	42301
556	53094	42227
557	53208	42147
558	53313	42059
559	53418	41971
560	53523	41883
561	53625	41793
562	53727	41703
563	53833	41616
564	53961	41545
565	54071	41461
566	54179	41375
567	54285	41287
568	54403	41208
569	54508	41120
570	54630	41044
571	54744	40962
572	54853	40877
573	54957	40787
574	55067	40702
575	55172	40612
576	55270	40518
577	55380	40433
578	55489	40347
579	55614	40272
580	55726	40188
581	55836	40102
582	55944	40015
583	56057	39931
584	56186	39858
585	56283	39763
586	56396	39679
587	56499	39588
588	56604	39497
589	56707	39406
590	56814	39318
591	56941	39243
592	57051	39156
593	57158	39067
594	57265	38978
595	57368	38887
596	57483	38803
597	57590	38714
598	57696	38625
599	57800	38533
600	57909	38445
601	58021	38359
602	58132	38272
603	58236	38181
604	58351	38097
605	58466	38012
606	58568	37920
607	58671	37827
608	58780	37739
609	58890	37651
610	58991	37557
611	59098	37467
612	59198	37373
613	59300	37279
614	59409	37191
615	59515	37100
616	59632	37016
617	59733	36922
618	59844	36834
619	59958	36748
620	60060	36655
621	60171	36567
622	60282	36479
623	60371	36377
624	60468	36281
625	60572	36188
626	60680	36098
627	60774	36000
628	60878	35907
629	60987	35817
630	61095	35727
631	61199	35635
632	61295	35537
633	61406	35449
634	61520	35362
635	61621	35267
636	61723	35173
637	61830	35082
638	61950	34998
