iter	Logloss
279	0.2427923731
280	0.2427836486
281	0.2427814687
282	0.2427743338
283	0.2427618025
284	0.2427522878
285	0.2427452293
286	0.2427311843
287	0.2427232922
288	0.2427150083
289	0.2427043909
290	0.2427017718
291	0.24269011
292	0.2426845251
293	0.2426803792
294	0.2426749247
295	0.2426739036
296	0.2426619172
297	0.2426570796
298	0.2426512205
299	0.2426472987
300	0.2426374853
301	0.2426371231
302	0.2426353343
303	0.2426325791
304	0.2426260193
305	0.2426190543
306	0.242605309
307	0.2425958708
308	0.2425904318
309	0.2425889339
310	0.2425857661
311	0.2425795579
312	0.2425748096
313	0.2425708946
314	0.2425688171
315	0.242559915
316	0.2425510936
317	0.2425444834
318	0.2425421301
319	0.2425378635
320	0.2425333704
321	0.2425270067
322	0.2425213501
323	0.2425150939
324	0.2425117878
325	0.2425087574
326	0.242498354
327	0.2424974459
328	0.2424913524
329	0.2424807797
330	0.2424799347
331	0.2424783532
332	0.2424722058
333	0.2424706044
334	0.2424674372
335	0.2424568179
336	0.2424531548
337	0.2424498374
338	0.2424386701
339	0.242438322
340	0.2424275777
341	0.2424159357
342	0.2424105761
343	0.2424050342
344	0.2424042405
345	0.2424013347
346	0.2423951035
347	0.2423928848
348	0.2423863083
349	0.2423855865
350	0.2423700586
351	0.242361368
352	0.2423589653
353	0.2423528737
354	0.2423478679
355	0.2423387996
356	0.2423291887
357	0.242325938
358	0.2423244749
359	0.2423161141
360	0.2423154153
361	0.2423107329
362	0.2423072835
363	0.2422959611
364	0.2422913968
365	0.2422832854
366	0.2422761446
367	0.2422714173
368	0.2422688365
369	0.2422614246
370	0.242254742
371	0.2422503738
372	0.2422454299
373	0.2422438121
374	0.2422272397
375	0.242217383
376	0.2422135084
377	0.2422090269
378	0.2422082212
379	0.2421972909
380	0.2421898639
381	0.2421809448
382	0.2421793695
383	0.2421708078
384	0.2421633012
385	0.2421579958
386	0.242147981
387	0.2421474111
388	0.2421459219
389	0.2421388251
390	0.2421321582
391	0.2421222853
392	0.2421206188
393	0.2421140745
394	0.2421119067
395	0.2421063012
396	0.2421014566
397	0.2420968495
398	0.2420903539
399	0.2420806787
400	0.2420751242
401	0.2420748307
402	0.2420733191
403	0.2420649728
404	0.2420627047
405	0.2420590189
406	0.2420546408
407	0.2420535292
408	0.2420475678
409	0.2420469762
410	0.2420393805
411	0.2420379174
412	0.242037152
413	0.2420307246
414	0.2420225461
415	0.2420022176
416	0.2419979322
417	0.2419959351
418	0.241990965
419	0.2419897464
420	0.241977458
421	0.2419726228
422	0.241962815
423	0.2419608722
424	0.2419593877
425	0.2419518867
426	0.2419459117
427	0.2419430364
428	0.2419341357
429	0.2419318912
430	0.2419252655
431	0.2419224741
432	0.2419209079
433	0.2419160446
434	0.2419134173
435	0.2419124917
436	0.2419060329
437	0.2419016653
438	0.2418923665
439	0.2418868943
440	0.2418762503
441	0.2418753226
442	0.2418679414
443	0.2418493751
444	0.2418476916
445	0.2418409853
446	0.2418393356
447	0.2418310277
448	0.2418289342
449	0.2418227496
450	0.2418132812
451	0.2418121273
452	0.2418083151
453	0.2418061
454	0.241800777
455	0.2417938888
456	0.2417898372
457	0.2417809406
458	0.2417733355
459	0.2417658482
460	0.2417642505
461	0.2417632588
462	0.2417612122
463	0.2417576618
464	0.2417479589
465	0.2417436041
466	0.2417399795
467	0.2417270817
468	0.2417208351
469	0.2417170675
470	0.2417145412
471	0.2417141202
472	0.2417119185
473	0.241702107
474	0.2416932979
475	0.2416873842
476	0.2416843028
477	0.2416808759
478	0.2416707224
479	0.2416661161
480	0.241661094
481	0.2416579511
482	0.2416549998
483	0.2416521454
484	0.2416458245
485	0.241643649
486	0.2416351113
487	0.2416318682
488	0.2416230522
489	0.2416218036
490	0.2416194647
491	0.2416069028
492	0.2416054694
493	0.2415985818
494	0.2415937862
495	0.241578618
496	0.2415751997
497	0.2415735943
498	0.2415713626
499	0.2415689332
500	0.241563805
501	0.241544897
502	0.2415364561
503	0.2415309293
504	0.241523599
505	0.2415131502
506	0.2415118625
507	0.2415112854
508	0.2415022498
509	0.2414959509
510	0.2414872183
511	0.2414857995
512	0.2414834338
513	0.2414777794
514	0.2414768123
515	0.2414755984
516	0.2414707779
517	0.2414620924
518	0.2414562437
519	0.2414544118
520	0.2414534866
521	0.2414524828
522	0.2414511058
523	0.2414500677
524	0.2414414402
525	0.2414393188
526	0.2414372763
527	0.2414259251
528	0.2414151024
529	0.2414130294
530	0.2414018968
531	0.2414006145
532	0.2413988025
533	0.2413934382
534	0.2413928555
535	0.2413836345
536	0.2413799432
537	0.2413755579
538	0.241362863
539	0.2413605956
540	0.2413587378
541	0.2413467287
542	0.241334744
543	0.2413323628
544	0.241330571
545	0.2413273053
546	0.241324706
547	0.241320424
548	0.2413171928
549	0.2413120202
550	0.2413048287
551	0.2413027151
552	0.241297967
553	0.24128891
554	0.2412875639
555	0.2412849212
556	0.2412811813
557	0.2412714936
558	0.2412608055
559	0.2412497724
560	0.2412477639
561	0.2412370737
562	0.2412347038
563	0.2412290947
564	0.2412227749
565	0.2412208479
566	0.2412108286
567	0.2412093912
568	0.2412048004
569	0.2411993997
570	0.2411868558
571	0.2411796964
572	0.2411775091
573	0.241176434
574	0.2411649129
575	0.241154469
576	0.2411541479
577	0.2411484946
578	0.2411440612
579	0.2411394156
580	0.2411342152
581	0.2411314396
582	0.2411231852
583	0.241114611
584	0.2411106788
585	0.2410956002
586	0.2410908434
587	0.2410842696
588	0.2410829896
589	0.2410737873
590	0.2410692285
591	0.2410678659
592	0.2410656235
593	0.2410572337
594	0.2410561801
595	0.241050575
596	0.2410500874
597	0.2410491029
598	0.2410431862
599	0.2410396949
600	0.2410370486
601	0.2410337293
602	0.2410331242
603	0.2410318523
604	0.2410290114
605	0.2410269052
606	0.2410265669
607	0.2410214272
608	0.2410145876
609	0.2410088637
610	0.2410062508
611	0.2409955528
612	0.2409893346
613	0.2409813203
614	0.2409794176
615	0.2409785738
616	0.2409772068
617	0.2409698552
618	0.2409638256
619	0.2409585799
620	0.2409526993
621	0.2409490583
622	0.2409352144
623	0.2409281328
624	0.2409228728
625	0.2409177378
626	0.2409152909
627	0.2409136554
628	0.2409049978
629	0.2408973844
630	0.2408951531
631	0.240890534
632	0.2408890077
633	0.2408828494
634	0.2408750497
635	0.2408657547
636	0.2408603916
637	0.2408582288
638	0.2408504346
