iter	Logloss
0	0.6384878741
1	0.5904910269
2	0.5484409995
3	0.5116610141
4	0.4795326636
5	0.451383654
6	0.4267844297
7	0.4053063235
8	0.386515341
9	0.3700400145
10	0.3556296192
11	0.3429925882
12	0.331904419
13	0.3221463206
14	0.313585867
15	0.3060508134
16	0.2994120307
17	0.293556167
18	0.2883829878
19	0.2838197297
20	0.279779153
21	0.276203409
22	0.2730320187
23	0.2702216983
24	0.2677231845
25	0.2655124468
26	0.2635431007
27	0.2617955702
28	0.2600671996
29	0.2585269572
30	0.2571575619
31	0.2559510292
32	0.2548724561
33	0.2539158821
34	0.2530099183
35	0.2523250734
36	0.2515534541
37	0.2508966831
38	0.2503126257
39	0.2498784472
40	0.2493831303
41	0.2489455721
42	0.2485512931
43	0.2482744176
44	0.2479217635
45	0.2476325512
46	0.2473652496
47	0.2471151217
48	0.2469258415
49	0.2467768893
50	0.2465578568
51	0.2464437208
52	0.246243455
53	0.246078295
54	0.2459941337
55	0.2458209593
56	0.2457109366
57	0.2456159628
58	0.245563241
59	0.2455050027
60	0.2454231188
61	0.2452972185
62	0.2452242181
63	0.2451937137
64	0.2450960159
65	0.2450661047
66	0.2449652142
67	0.2449012105
68	0.2448497845
69	0.2447737996
70	0.2447176959
71	0.244692102
72	0.2446501679
73	0.2445845611
74	0.244536047
75	0.2445085987
76	0.2444902282
77	0.2444540398
78	0.2444274043
79	0.2443952637
80	0.2443592468
81	0.2443551627
82	0.2443125359
83	0.2442865037
84	0.2442577159
85	0.2442353617
86	0.2442129235
87	0.244201514
88	0.2441881856
89	0.2441698944
90	0.2441452117
91	0.2441438861
92	0.2441108636
93	0.2440832229
94	0.2440621969
95	0.2440410947
96	0.2440089266
97	0.2439987395
98	0.2439744251
99	0.2439635234
100	0.2439588386
101	0.2439396009
102	0.2439247208
103	0.2439034976
104	0.2438830758
105	0.2438790918
106	0.243878874
107	0.243863784
108	0.2438543721
109	0.2438501935
110	0.2438395115
111	0.2438326553
112	0.2438210595
113	0.2437966257
114	0.2437831789
115	0.2437809597
116	0.2437741125
117	0.2437644201
118	0.2437404446
119	0.2437316823
120	0.2437265883
121	0.2437197227
122	0.2437135611
123	0.2437131586
124	0.2437110582
125	0.2436996618
126	0.2436903686
127	0.2436850598
128	0.2436616682
129	0.2436566882
130	0.2436507981
131	0.2436430003
132	0.2436312666
133	0.2436215914
134	0.2436153768
135	0.2436099312
136	0.243594068
137	0.2435913373
138	0.2435890249
139	0.2435889119
140	0.243577203
141	0.2435716457
142	0.2435627741
143	0.2435614748
144	0.2435491828
145	0.2435361126
146	0.243527713
147	0.2435177016
148	0.2435159325
149	0.2435092145
150	0.2435087844
151	0.2435069115
152	0.2434966643
153	0.2434883562
154	0.2434849066
155	0.2434833278
156	0.2434814129
157	0.243479847
158	0.243478289
159	0.2434638774
160	0.243456162
161	0.2434464945
162	0.2434342736
163	0.2434287398
164	0.2434278677
165	0.2434274077
166	0.2434272074
167	0.2434206921
168	0.243420276
169	0.2434108394
170	0.2434037813
171	0.2433930795
172	0.2433807967
173	0.243378493
174	0.2433776776
175	0.2433771593
176	0.2433726961
177	0.2433708046
178	0.2433602726
179	0.2433600047
180	0.2433587113
181	0.2433576216
182	0.2433514571
183	0.2433513854
184	0.2433481703
185	0.2433361696
186	0.2433356755
187	0.243332798
188	0.2433306883
189	0.2433239682
190	0.243321552
191	0.2433152235
192	0.2433149626
193	0.2433106031
194	0.243302772
195	0.2432927565
196	0.2432839572
197	0.2432742364
198	0.2432702817
199	0.2432660183
200	0.2432496043
201	0.2432444456
202	0.2432402982
203	0.2432346908
204	0.2432346907
205	0.2432346894
206	0.2432344836
207	0.2432222952
208	0.2432148353
209	0.2432039464
210	0.2431863332
211	0.2431731447
212	0.2431704794
213	0.2431685486
214	0.243158547
215	0.2431507752
216	0.2431473606
217	0.2431342112
218	0.2431341299
219	0.243125398
220	0.2431207971
221	0.2431086524
222	0.2431036853
223	0.2431023909
224	0.2431012225
225	0.2430880002
226	0.2430867959
227	0.2430774455
228	0.2430756584
229	0.243065746
230	0.2430651441
231	0.2430624654
232	0.2430621346
233	0.2430569905
234	0.2430552478
235	0.24305411
236	0.2430494075
237	0.2430463402
238	0.243026864
239	0.2430252638
240	0.2430196194
241	0.2430131969
242	0.2430104963
243	0.2430079517
244	0.2430070378
245	0.2430020598
246	0.2429996972
247	0.2429978083
248	0.2429895328
249	0.2429873302
250	0.242983764
251	0.2429792753
252	0.2429763417
253	0.2429713733
254	0.2429703084
255	0.2429581054
256	0.2429560739
257	0.2429554477
258	0.2429505214
259	0.2429445047
260	0.2429352045
261	0.2429213585
262	0.2429095214
263	0.2428986963
264	0.2428864864
265	0.2428774386
266	0.242863794
267	0.2428553344
268	0.2428536049
269	0.242850909
270	0.2428474479
271	0.2428468091
272	0.2428438267
273	0.2428304705
274	0.2428284724
275	0.2428196061
276	0.2428129194
277	0.2428086689
278	0.242804627
